Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Faraday Cup Array Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Faraday Cup Array Configuration'].schema:value,authored,module,unanimous across 1 technique(s)
Faraday Cup Amplifier Resistor Values,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Faraday Cup Amplifier Resistor Values'].schema:value,authored,module,unanimous across 1 technique(s)
Faraday Cup Gain Calibration Method,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Faraday Cup Gain Calibration Method'].schema:value,authored,module,unanimous across 1 technique(s)
Collector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Collector Configuration'].schema:value,authored,module,unanimous across 1 technique(s)
Number of Blocks per Measurement,Basic,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Number of Blocks per Measurement'].schema:value,authored,module,unanimous across 1 technique(s)
Number of Blocks per Measurement,Basic,Editable,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Number of Blocks per Measurement'].schema:defaultValue,authored,module,unanimous across 1 technique(s)
Number of Cycles per Block,Basic,Editable,Integer,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Number of Cycles per Block'].schema:value,authored,module,unanimous across 1 technique(s)
Number of Cycles per Block,Basic,Editable,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Number of Cycles per Block'].schema:defaultValue,authored,module,unanimous across 1 technique(s)
Integration Time per Cycle,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Integration Time per Cycle'].schema:value,authored,module,unanimous across 1 technique(s)
Integration Time per Cycle,Basic,Editable,Numeric (s),$MethodDefinition.schema:additionalProperty[schema:name='Integration Time per Cycle'].schema:defaultValue,authored,module,unanimous across 1 technique(s)
Baseline Measurement Approach,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Baseline Measurement Approach'].schema:value,authored,module,unanimous across 1 technique(s)
Mass Fractionation Law,Basic,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Mass Fractionation Law'].schema:value,authored,module,unanimous across 1 technique(s)
Internal Normalization Element and Isotope Ratio,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalNormalizationElementAndIsotopeRatio,authored,module,unanimous across 1 technique(s)
Double-Spike Isotope Pair,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Isotope Pair'].schema:value,authored,module,unanimous across 1 technique(s)
Double-Spike Mixing Ratio,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Double Spike Mixing Ratio'].schema:value,authored,module,unanimous across 1 technique(s)
Double-Spike Mixing Ratio,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Mixing Ratio'].schema:defaultValue,authored,module,unanimous across 1 technique(s)
Double-Spike Inversion Algorithm,Basic,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Double Spike Inversion Algorithm'].schema:value,authored,module,unanimous across 1 technique(s)
Peak Flatness Method and Threshold,Basic,Read-Only,Text (free),,flagged,module,no technique places this field yet
Peak Flatness,N/A,Basic,Text (free),,flagged,module,no technique places this field yet
