Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Protocol Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,shared,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,shared,
Protocol Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,shared,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place.schema:name,inferred,shared,
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place.schema:identifier,inferred,shared,
Protocol Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,shared,
Funding Source for Protocol Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,shared,
Protocol Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,shared,
Protocol DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,shared,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,shared,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,shared,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,shared,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,shared,
Coupled Technique(s),Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,inferred,divergent,
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,shared,
Coupled Protocol DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,shared,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,shared,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,
Sample Preparation Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,shared,
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,inferred,shared,
Sample Persistent Identifier,N/A,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,inferred,shared,
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.ada:instrumentManufacturer,inferred,divergent,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.ada:instrumentModel,inferred,divergent,
Electron Source,Basic,Read-Only,Controlled list,$MethodDefinition.ada:electronSource,inferred,divergent,
Instrument Variant,Basic,Read-Only,Controlled list,$MethodDefinition.ada:instrumentVariant,inferred,shared,
Ion Beam Source,Basic,Read-Only,Controlled list,$MethodDefinition.ada:ionBeamSource,inferred,shared,
SE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.ada:seDetectorType,inferred,shared,
BSE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.ada:bseDetectorType,inferred,shared,
EDS Detector Configuration,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EDS Detector Configuration'].schema:value,inferred,divergent,
WDS Spectrometer Configuration,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='WDS Spectrometer Configuration'].schema:value,inferred,divergent,
CL Detector Configuration,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Detector Configuration'].schema:value,inferred,shared,
EBSD Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.ada:ebsdDetectorConfiguration,inferred,shared,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,
Data Reduction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,shared,
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],inferred,shared,
Beam Mode,Basic,Read-Only,Controlled vocabulary,$MethodDefinition.ada:beamMode,inferred,divergent,
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.ada:acceleratingVoltage,inferred,divergent,
Beam Current,Basic,Editable,Numeric (nA),$MethodDefinition.ada:beamCurrent,inferred,divergent,
Beam Diameter,Basic,Editable,Numeric + unit,$MethodDefinition.ada:beamDiameter,inferred,divergent,
Beam Raster Dimensions,Advanced,Editable,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:defaultValue,inferred,divergent,
Beam Raster Dimensions,Advanced,Editable,Numeric + unit,$Dataset.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:value,inferred,divergent,
Beam Damage Minimization,Advanced,Editable,Free text,$MethodDefinition.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:defaultValue,inferred,shared,
Beam Damage Minimization,Advanced,Editable,Free text,$Dataset.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:value,inferred,shared,
Drift Correction,Advanced,Editable,Free text,$MethodDefinition.schema:additionalProperty[schema:name='Drift Correction'].schema:defaultValue,inferred,shared,
Drift Correction,Advanced,Editable,Free text,$Dataset.schema:additionalProperty[schema:name='Drift Correction'].schema:value,inferred,shared,
Stage Scan vs. Beam Scan,Advanced,Read-Only,Controlled vocabulary,$MethodDefinition.schema:additionalProperty[schema:name='Stage Scan vs Beam Scan'].schema:value,inferred,shared,
Working Distance,Basic,Editable,Numeric (mm),$MethodDefinition.ada:workingDistance,inferred,shared,
Chamber Pressure,Advanced,Editable,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Chamber Pressure'].schema:defaultValue,inferred,shared,
Chamber Pressure,Advanced,Editable,Numeric + unit,$Dataset.schema:additionalProperty[schema:name='Chamber Pressure'].schema:value,inferred,shared,
Image Pixel Size,Advanced,Basic,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Image Pixel Size'].schema:value,inferred,shared,
Dwell Time per Pixel,Basic,Editable,Numeric + unit,$MethodDefinition.ada:dwellTimePerPixel,inferred,divergent,
EDS Acquisition Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:edsAcquisitionMode,inferred,shared,
Analyte,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:defaultAnalytes[],inferred,shared,
Technique per Analyte,Basic,Read-Only,Controlled vocabulary (list),$MethodDefinition.ada:techniquePerAnalyte,inferred,shared,
X-ray Line,Basic,Read-Only,Controlled list,$MethodDefinition.ada:xRayLine,inferred,divergent,
EDS Live Time per Point or Pixel,Basic,Editable,Numeric (s),$MethodDefinition.ada:edsLiveTimePerPointOrPixel,inferred,shared,
Step Size / Pixel Size,Advanced,Basic,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Step Size Pixel Size'].schema:value,inferred,divergent,
EDS Map Dimensions,N/A,Basic,Numeric pair (pixels x pixels),,flagged,,analysis-instance (needs mapping)
