Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,authored,module,unanimous across 22 technique(s),
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,authored,module,unanimous across 16 technique(s),
Procedure Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,authored,module,unanimous across 22 technique(s),
Laboratory,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:name,authored,module,unanimous across 16 technique(s),
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:name,authored,module,unanimous across 16 technique(s),
Laboratory ID,Advanced,Editable,URI / DOI,$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:identifier,authored,module,unanimous across 16 technique(s),
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:identifier,authored,module,unanimous across 16 technique(s),
Procedure Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,authored,module,unanimous across 22 technique(s),
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,authored,module,unanimous across 22 technique(s),
Procedure Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,module,"majority 21/22 (empaTAPP, laMcicpmsTAPP, laMcicpmsUPbTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, laSficpmsUPbTAPP, labxctTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP, temTAPP); rivals: 1x $MethodDefinition.prov:wasDerivedFrom",
Procedure DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,authored,module,unanimous across 22 technique(s),
Session Identifier,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:identifier,authored,module,unanimous across 16 technique(s),
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,authored,module,unanimous across 16 technique(s),
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,authored,module,unanimous across 16 technique(s),
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,authored,module,unanimous across 16 technique(s),
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,authored,module,unanimous across 16 technique(s),
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,module,unanimous across 16 technique(s),
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,module,unanimous across 16 technique(s),
Coupling Description,Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,module,unanimous across 16 technique(s),
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,module,unanimous across 16 technique(s),
Coupled Procedure DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProcedure'].schema:target.schema:url,authored,module,unanimous across 22 technique(s),
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,authored,module,unanimous across 16 technique(s),
