Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Ablation Cell Type,Basic,Read-Only,Text (free),,module,shared,placement owned by Module LaserAblation,
Ablation Duration per Spot,Basic,Editable,Numeric (s),,module,shared,placement owned by Module LaserAblation (module places the direct ada: property its $def requires; the technique's parameter path was already discarded by the generator),
Ablation Duration per Spot,Basic,Editable,Numeric (s),,module,shared,placement owned by Module LaserAblation,
Ablation Pit Depth and Ablation Rate,Basic,Editable,Text (free),,module,,placement owned by Module LaserAblation (as Ablation Duration per Spot),
Ablation Pit Depth and Ablation Rate,Basic,Editable,Text (free),,module,,placement owned by Module LaserAblation,
Acquisition Software,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Acquisition Software,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
Additional Notes,Advanced,Advanced,Text (free),,module,shared,placement owned by Module Core,
Analysis End Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Analysis Inclusion and Rejection Criteria,Basic,Basic,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Analysis Inclusion and Rejection Criteria'].schema:value,inferred,,path from owning module,
Analysis Location/Spot Coordinates,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Mapped area description'].schema:value,authored,shared,path from owning module,sample > sampling unit
Analysis Sequence,Basic,Editable,Text (free),$MethodDefinition.ada:analysisSequenceDefault,authored,divergent,dual-home decision: protocol default,
Analysis Sequence,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Analysis Sequence'].schema:value,authored,divergent,tier rule: session parameter is an additionalProperty on the analysis,
Analysis Start Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Analyst,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,
Analyte,Basic,Editable,Text (free),,module,shared,placement owned by Module Analyte,defines: analyte
Analytical Accuracy and Assessment Method,Basic,Basic,Text (free),$MethodDefinition.ada:analyticalAccuracy,authored,shared,,standard x reported property
Analytical Mode,Basic,Read-Only,Controlled list,,module,shared,placement owned by Module Core,
Auxiliary Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='ICP Source'].schema:additionalProperty[schema:name='Auxiliary Gas Flow Rate'].schema:defaultValue,authored,shared,,
