Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Protocol Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,shared,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,shared,
Protocol Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,shared,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place.schema:name,inferred,shared,
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place.schema:identifier,inferred,shared,
Protocol Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,shared,
Funding Source for Protocol Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,shared,
Protocol Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,shared,
Protocol DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,shared,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,shared,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,shared,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,shared,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,shared,
Coupled Technique(s),Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,shared,
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,shared,
Coupled Protocol DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,shared,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,shared,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,
Sample Preparation Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,shared,
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,inferred,shared,
Sample Persistent Identifier,N/A,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,inferred,shared,
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:manufacturer.schema:name,authored,divergent,divergence decision applied
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:model.schema:name,authored,shared,divergence decision applied
Electron Source,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:hasPart[schema:additionalType='Electron source'].schema:description,authored,divergent,divergence decision applied
Instrument Variant,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:description,authored,shared,
Ion Beam Source,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='FIBSEM'].schema:hasPart[schema:additionalType = 'Ion Beam Source'].schema:name,authored,,
SE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:hasPart[schema:additionalType = 'SEDetector'].schema:name,authored,shared,
BSE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:hasPart[schema:additionalType = 'BSEDetector'].schema:name,authored,shared,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,shared,
Data Reduction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,shared,
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],authored,shared,
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.schema:instrument[schema:additionalType='SEM'].ada:acceleratingVoltageDefault,authored,divergent,divergence decision applied
Accelerating Voltage,Basic,Editable,Numeric (kV),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='SEM'].ada:acceleratingVoltage,inferred,divergent,dual-home counterpart (tier matrix)
Beam Current,Basic,Editable,Numeric (nA),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,shared,divergence decision applied
Working Distance,Basic,Editable,Numeric (mm),$MethodDefinition.schema:instrument[schema:additionalType='SEM'].ada:workingDistanceDefault,authored,shared,divergence decision applied
Working Distance,Basic,Editable,Numeric (mm),$Dataset.prov:wasGeneratedBy.prov:used[schema:additionalType='SEM'].ada:workingDistance,inferred,shared,dual-home counterpart (tier matrix)
Dwell Time per Pixel,Basic,Editable,Numeric + unit,$MethodDefinition.ada:dwellTimePerPixelDefault,authored,shared,divergence decision applied
Dwell Time per Pixel,Basic,Editable,Numeric + unit,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Dwell Time per Pixel'].schema:value,inferred,shared,dual-home counterpart (tier matrix)
Protective Coating Deposition,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:additionalProperty[schema:name='Protective Coating Deposition'].schema:value,authored,,
Coarse Milling Conditions,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='ionMilling'].schema:additionalProperty[schema:name='Coarse Milling Conditions'].schema:value ,authored,,
Fine Polishing Conditions,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='ionMilling'].schema:additionalProperty[schema:name='Fine Polishing Conditions'].schema:value ,authored,,
Target Foil Thickness,Basic,Editable,Numeric + unit,$MethodDefinition.schema:actionProcess.schema:step[schema:name='ionMilling'].schema:additionalProperty[schema:name='Target Foil Thickness'].schema:value ,authored,,
Lift-out Method,Basic,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='ionMilling'].schema:additionalProperty[schema:name='Lift Out Method'].schema:value ,authored,,
Ion Milling Conditions (3D Tomography),Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='ionMilling'].schema:description,authored,,
Slice Thickness,Basic,Editable,Numeric (nm),$MethodDefinition.schema:actionProcess.schema:step[schema:name='ionMilling'].schema:additionalProperty[schema:name='Slice Thickness'].schema:value ,authored,,
Voxel Size and Image Stack Dimensions,N/A,Basic,Text (free),$Dataset.ada:voxelSize,authored,,
3D Image Registration,Basic,Editable,Text (free),$MethodDefinition.ada:imageRegistration3D,authored,,parse-fail: bad curie 'ada:3dImageRegistration' in segment 'ada:3dImageRegistration'
3D Segmentation Method,Basic,Editable,Text (free),$MethodDefinition.ada:segmentationMethod3D,authored,,parse-fail: bad curie 'ada:3dSegmentationMethod' in segment 'ada:3dSegmentationMethod'
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,inferred,shared,
