Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),,module,shared,placement owned by Module Core,
Technique,Basic,Read-Only,Controlled list,,module,shared,placement owned by Module Core,
Procedure Author,Basic,Read-Only,Text (free),,module,shared,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,shared,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,shared,placement owned by Module Core,
Procedure Start Date,Basic,Read-Only,Date,,module,shared,placement owned by Module Core,
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),,module,shared,placement owned by Module Core,
Procedure Reference(s),Advanced,Read-Only,URI / DOI,,module,shared,placement owned by Module Core,
Procedure DOI,N/A,Basic,URI / DOI,,module,shared,placement owned by Module Core,
Session Identifier,N/A,Basic,Text (free),,module,,placement owned by Module Core,
Analyst,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,
Analysis Start Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Analysis End Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Funding Source for Analysis,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Text (free),,module,shared,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Text (free),,module,shared,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,shared,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,shared,placement owned by Module Core,
Coupled Procedure DOI,N/A,Advanced,URI / DOI,,module,shared,placement owned by Module Core,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,,module,shared,placement owned by Module Core,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,,
Sample Preparation Method,Basic,Editable,Controlled list / Text,,module,divergent,placement owned by Module Core,
Sample Preparation Method,Basic,Editable,Controlled list / Text,,module,divergent,placement owned by Module Core,
Sample Name,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,defines: sample
Sampling Unit,Basic,Basic,Controlled list / Text,,module,,placement owned by Module Core,defines: sampling unit
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,,module,shared,placement owned by Module Core,sample
Sampling Unit Selection Criteria,Basic,Editable,Text (free),,module,,placement owned by Module TargetSelection,
Sampling Unit Selection Criteria,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sampling Unit Selection Criteria'].schema:value,authored,,,
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:value,keyed,,,sample
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:manufacturer.schema:name,authored,divergent,divergence decision applied,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:model.schema:name,authored,shared,divergence decision applied,
Electron Source,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:hasPart[schema:additionalType='Electron Source'].schema:description,authored,divergent,divergence decision applied,
Instrument Variant,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:description,authored,shared,divergence decision applied,
SE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='SEM'].schema:hasPart[schema:additionalType='SE Detector'].schema:name,authored,shared,divergence decision applied,
