Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Notes
Protocol Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,
Protocol Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place.schema:name,inferred,
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place.schema:identifier,inferred,
Protocol Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,
Funding Source for Protocol Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,
Protocol Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,
Protocol DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,
Coupled Technique(s),Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,inferred,
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,
Coupled Protocol DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,
Sample Preparation Method,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,inferred,
Sample Persistent Identifier,N/A,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,inferred,
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.ada:instrumentManufacturer,inferred,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.ada:instrumentModel,inferred,
Electron Source,Basic,Read-Only,Controlled list,$MethodDefinition.ada:electronSource,inferred,
Instrument Variant,Basic,Read-Only,Controlled list,$MethodDefinition.ada:instrumentVariant,inferred,
Ion Beam Source,Basic,Read-Only,Controlled list,$MethodDefinition.ada:ionBeamSource,inferred,
SE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.ada:seDetectorType,inferred,
BSE Detector Type,Basic,Read-Only,Controlled list,$MethodDefinition.ada:bseDetectorType,inferred,
EDS Detector Configuration,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EDS Detector Configuration'].schema:value,inferred,
WDS Spectrometer Configuration,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='WDS Spectrometer Configuration'].schema:value,inferred,
CL Detector Configuration,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Detector Configuration'].schema:value,inferred,
EBSD Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.ada:ebsdDetectorConfiguration,inferred,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='acquisition'].schema:name,authored,
Data Reduction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[ada:toolRole='dataReduction'].schema:name,authored,
Analytical Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:analyticalMode[],inferred,
Beam Mode,Basic,Read-Only,Controlled vocabulary,$MethodDefinition.ada:beamMode,inferred,
Accelerating Voltage,Basic,Editable,Numeric (kV),$MethodDefinition.ada:acceleratingVoltage,inferred,
Beam Current,Basic,Editable,Numeric (nA),$MethodDefinition.ada:beamCurrent,inferred,
Beam Diameter,Basic,Editable,Numeric + unit,$MethodDefinition.ada:beamDiameter,inferred,
Beam Raster Dimensions,Advanced,Editable,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:defaultValue,inferred,
Beam Raster Dimensions,Advanced,Editable,Numeric + unit,$Dataset.schema:additionalProperty[schema:name='Beam Raster Dimensions'].schema:value,inferred,
Beam Damage Minimization,Advanced,Editable,Free text,$MethodDefinition.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:defaultValue,inferred,
Beam Damage Minimization,Advanced,Editable,Free text,$Dataset.schema:additionalProperty[schema:name='Beam Damage Minimization'].schema:value,inferred,
Drift Correction,Advanced,Editable,Free text,$MethodDefinition.schema:additionalProperty[schema:name='Drift Correction'].schema:defaultValue,inferred,
Drift Correction,Advanced,Editable,Free text,$Dataset.schema:additionalProperty[schema:name='Drift Correction'].schema:value,inferred,
Stage Scan vs. Beam Scan,Advanced,Read-Only,Controlled vocabulary,$MethodDefinition.schema:additionalProperty[schema:name='Stage Scan vs Beam Scan'].schema:value,inferred,
Working Distance,Basic,Editable,Numeric (mm),$MethodDefinition.ada:workingDistance,inferred,
Chamber Pressure,Advanced,Editable,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Chamber Pressure'].schema:defaultValue,inferred,
Chamber Pressure,Advanced,Editable,Numeric + unit,$Dataset.schema:additionalProperty[schema:name='Chamber Pressure'].schema:value,inferred,
Image Pixel Size,Advanced,Basic,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Image Pixel Size'].schema:value,inferred,
Dwell Time per Pixel,Basic,Editable,Numeric + unit,$MethodDefinition.ada:dwellTimePerPixel,inferred,
EDS Acquisition Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:edsAcquisitionMode,inferred,
Analyte,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:defaultAnalytes[],inferred,
Technique per Analyte,Basic,Read-Only,Controlled vocabulary (list),$MethodDefinition.ada:techniquePerAnalyte,inferred,
X-ray Line,Basic,Read-Only,Controlled list,$MethodDefinition.ada:xRayLine,inferred,
EDS Live Time per Point or Pixel,Basic,Editable,Numeric (s),$MethodDefinition.ada:edsLiveTimePerPointOrPixel,inferred,
Step Size / Pixel Size,Advanced,Basic,Numeric + unit,$MethodDefinition.schema:additionalProperty[schema:name='Step Size Pixel Size'].schema:value,inferred,
EDS Map Dimensions,N/A,Basic,Numeric pair (pixels x pixels),,flagged,analysis-instance (needs mapping)
Map Area,N/A,Basic,Numeric + unit,,flagged,analysis-instance (needs mapping)
Diffracting Crystal,Basic,Read-Only,Controlled list,$MethodDefinition.ada:diffractingCrystal,inferred,
WDS Spectrometer Channel,Advanced,Read-Only,Integer,$MethodDefinition.schema:additionalProperty[schema:name='WDS Spectrometer Channel'].schema:value,inferred,
Sequence,Advanced,Read-Only,Integer,$MethodDefinition.schema:additionalProperty[schema:name='Sequence'].schema:value,inferred,
Proportional Counter / Detector,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Proportional Counter Detector'].schema:value,inferred,
WDS PHA Setting,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='WDS PHA Setting'].schema:value,inferred,
Peak Counting Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:peakCountingTime,inferred,
Background Counting Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:backgroundCountingTime,inferred,
Background Position(s),Advanced,Editable,Numeric + label,$MethodDefinition.schema:additionalProperty[schema:name='Background Position s'].schema:defaultValue,inferred,
Background Position(s),Advanced,Editable,Numeric + label,$Dataset.schema:additionalProperty[schema:name='Background Position s'].schema:value,inferred,
CL Acquisition Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:clAcquisitionMode,inferred,
CL Wavelength Range,Basic,Read-Only,Numeric pair (nm),$MethodDefinition.ada:clWavelengthRange,inferred,
CL Grating,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Grating'].schema:value,inferred,
CL Integration Time,Basic,Editable,Numeric + unit,$MethodDefinition.ada:clIntegrationTime,inferred,
Sample Tilt Angle,Basic,Read-Only,Numeric (degrees),$MethodDefinition.ada:sampleTiltAngle,inferred,
EBSD Step Size,Basic,Editable,Numeric + unit,$MethodDefinition.ada:ebsdStepSize,inferred,
EBSD Frame Time,Advanced,Editable,Numeric (ms),$MethodDefinition.schema:additionalProperty[schema:name='EBSD Frame Time'].schema:defaultValue,inferred,
EBSD Frame Time,Advanced,Editable,Numeric (ms),$Dataset.schema:additionalProperty[schema:name='EBSD Frame Time'].schema:value,inferred,
EBSD Phase List,Basic,Editable,Text (free),$MethodDefinition.ada:ebsdPhaseList,inferred,
Protective Coating Deposition,Basic,Editable,Text (free),$MethodDefinition.ada:protectiveCoatingDeposition,inferred,
Coarse Milling Conditions,Basic,Editable,Text (free),$MethodDefinition.ada:coarseMillingConditions,inferred,
Fine Polishing Conditions,Basic,Editable,Text (free),$MethodDefinition.ada:finePolishingConditions,inferred,
Target Foil Thickness,Basic,Editable,Numeric + unit,$MethodDefinition.ada:targetFoilThickness,inferred,
Lift-out Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:liftOutMethod,inferred,
Ion Milling Conditions (3D Tomography),Basic,Editable,Text (free),$MethodDefinition.ada:ionMillingConditions,inferred,
Slice Thickness,Basic,Editable,Numeric (nm),$MethodDefinition.ada:sliceThickness,inferred,
Voxel Size and Image Stack Dimensions,N/A,Basic,Text (free),,flagged,analysis-instance (needs mapping)
Matrix Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:matrixCorrectionMethod,inferred,
Mass Absorption Coefficients (MACs),Basic,Read-Only,Controlled list,$MethodDefinition.ada:massAbsorptionCoefficients,inferred,
Background Correction Method,Basic,Editable,Controlled list,$MethodDefinition.ada:backgroundCorrectionMethod,inferred,
Time-Dependent Intensity Correction,Advanced,Editable,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Time Dependent Intensity Correction'].schema:defaultValue,inferred,
Time-Dependent Intensity Correction,Advanced,Editable,Controlled list,$Dataset.schema:additionalProperty[schema:name='Time Dependent Intensity Correction'].schema:value,inferred,
Analyte Estimation Method,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Analyte Estimation Method'].schema:value,inferred,
Halogen Correction on Oxygen,Advanced,Editable,Boolean,$MethodDefinition.schema:additionalProperty[schema:name='Halogen Correction on Oxygen'].schema:defaultValue,inferred,
Halogen Correction on Oxygen,Advanced,Editable,Boolean,$Dataset.schema:additionalProperty[schema:name='Halogen Correction on Oxygen'].schema:value,inferred,
EDS Spectral Processing Type,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='EDS Spectral Processing Type'].schema:value,inferred,
Blank Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Blank Correction'].schema:defaultValue,inferred,
Blank Correction,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Blank Correction'].schema:value,inferred,
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Normalization Standards Based Correction'].schema:defaultValue,inferred,
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Normalization Standards Based Correction'].schema:value,inferred,
WDS Dead Time Correction,Basic,Read-Only,Controlled list,$MethodDefinition.ada:wdsDeadTimeCorrection,inferred,
EBSD Indexing Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:ebsdIndexingMethod,inferred,
Crystal Structure Database,Basic,Editable,Text (free),$MethodDefinition.ada:crystalStructureDatabase,inferred,
EBSD Pattern Quality Threshold,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='EBSD Pattern Quality Threshold'].schema:defaultValue,inferred,
EBSD Pattern Quality Threshold,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='EBSD Pattern Quality Threshold'].schema:value,inferred,
3D Image Registration,Basic,Editable,Text (free),,flagged,parse-fail: bad curie 'ada:3dImageRegistration' in segment 'ada:3dImageRegistration'
3D Segmentation Method,Basic,Editable,Text (free),,flagged,parse-fail: bad curie 'ada:3dSegmentationMethod' in segment 'ada:3dSegmentationMethod'
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:primaryStandardName,inferred,
Secondary Reference Materials,Basic,Editable,Text (free),$MethodDefinition.ada:secondaryReferenceMaterial[],inferred,
Interference Corrections Applied,Basic,Read-Only,Boolean,$MethodDefinition.ada:interferenceCorrectionsApplied,inferred,
Interfering Elements,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Interfering Elements'].schema:value,inferred,
Interference Correction Standard,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Interference Correction Standard'].schema:value,inferred,
Detection Limit,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Detection Limit Method,Advanced,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Analytical Precision,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Analytical Precision'].schema:value,inferred,
Analytical Accuracy,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Analytical Accuracy'].schema:value,inferred,
Counting Statistics Error,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Counting Statistics Error'].schema:value,inferred,
EDS Dead Time,N/A,Basic,Numeric (%),,flagged,analysis-instance (needs mapping)
EBSD Mean Angular Deviation,N/A,Basic,Numeric (degrees),,flagged,analysis-instance (needs mapping)
EBSD Indexing Rate,N/A,Basic,Numeric (%),,flagged,analysis-instance (needs mapping)
CL Wavelength Calibration Reference,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='CL Wavelength Calibration Reference'].schema:defaultValue,inferred,
CL Wavelength Calibration Reference,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='CL Wavelength Calibration Reference'].schema:value,inferred,
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,inferred,
