Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),,module,shared,placement owned by Module Core,
Technique,Basic,Read-Only,Controlled list,,module,shared,placement owned by Module Core,
Procedure Author,Basic,Read-Only,Text (free),,module,shared,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,shared,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,shared,placement owned by Module Core,
Procedure Start Date,Basic,Read-Only,Date,,module,shared,placement owned by Module Core,
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),,module,shared,placement owned by Module Core,
Procedure Reference(s),Advanced,Read-Only,URI / DOI,,module,shared,placement owned by Module Core,
Procedure DOI,N/A,Basic,URI / DOI,,module,shared,placement owned by Module Core,
Analyst,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,
Analysis Start Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Analysis End Date,N/A,Basic,Date,,module,shared,placement owned by Module Core,
Funding Source for Analysis,N/A,Basic,Text (free),,module,shared,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Text (free),,module,shared,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,shared,placement owned by Module Core,
Coupled Procedure DOI,N/A,Advanced,URI / DOI,,module,shared,placement owned by Module Core,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,,module,shared,placement owned by Module Core,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,,
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,,module,shared,placement owned by Module Core,sample
Sample Description,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:description,authored,shared,analysis-instance (needs mapping),
Sample Preparation Method,Basic,Editable,Controlled list / Text,,module,divergent,placement owned by Module Core,
Digestion Acid(s),Basic,Read-Only,Text (free),,module,shared,placement owned by Module SolutionIntroduction,preparation step
Digestion Vessel Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Vessel Type'].schema:value,authored,shared,,
Digestion Temperature,Basic,Editable,Numeric (°C),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Temperature'].schema:defaultValue,authored,shared,dual-home decision: protocol default,preparation step
Digestion Temperature,Basic,Editable,Numeric (°C),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Temperature'].schema:value,authored,shared,dual-home decision: analysis-tier value,preparation step
Digestion Duration,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Duration'].schema:defaultValue,authored,shared,dual-home decision: protocol default,preparation step
Digestion Duration,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Duration'].schema:value,authored,shared,dual-home decision: analysis-tier value,preparation step
Final Solution Matrix,Basic,Read-Only,Text (free),,module,shared,placement owned by Module SolutionIntroduction,acquisition pass
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:value,authored,shared,,sample
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:defaultValue,authored,shared,,sample
