Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes
Protocol Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,shared,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,shared,
Protocol Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,shared,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place.schema:name,inferred,shared,
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place.schema:identifier,inferred,shared,
Protocol Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,shared,
Funding Source for Protocol Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,shared,
Protocol Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,shared,
Protocol DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,shared,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,shared,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,shared,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,shared,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,shared,
Coupled Technique(s),Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,shared,divergence decision applied
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,shared,
Coupled Protocol DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,shared,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,shared,
Target Material,Basic,Read-Only,Text (free),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,shared,
Sample IGSN,Advanced,Basic,URI / Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,authored,shared,
Sample Description,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:description,authored,shared,analysis-instance (needs mapping)
Sample Preparation Method,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,shared,
Digestion Acid(s),Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='sampleDigestion'].bios:reagent[].schema:name,authored,shared,
Digestion Vessel Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='sampleDigestion'].schema:additionalProperty[schema:name='Digestion Vessel Type'].schema:value,authored,shared,
Number of Digestion Steps,Basic,Read-Only,Integer,$MethodDefinition.schema:actionProcess.schema:step[schema:name='sampleDigestion'].schema:additionalProperty[schema:name='Number of Digestion Steps'].schema:value,authored,shared,
Digestion Temperature,Basic,Editable,Numeric (°C),$MethodDefinition.schema:actionProcess.schema:step[schema:name='sampleDigestion'].schema:additionalProperty[schema:name='Digestion Temperature'].schema:value,authored,shared,
Digestion Duration,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='sampleDigestion'].schema:additionalProperty[schema:name='Digestion Duration'].schema:value,authored,shared,
Final Solution Matrix,Basic,Read-Only,Text (free),$MethodDefinition.ada:finalSolutionMatrix,inferred,shared,
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:value,authored,shared,
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:defaultValue,authored,shared,
Chromatographic Separation Applied,Basic,Read-Only,Controlled list,$MethodDefinition.ada:chromatographicSeparationApplied,inferred,shared,
Isotope Dilution Spike,Basic,Read-Only,Text (free),$MethodDefinition.ada:isotopeDilutionSpike,inferred,shared,
Instrument Make and Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:model.schema:name,authored,shared,instrument selector added; ICPMS is the only instrument this sidecar declares
ICP-MS Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalType,inferred,shared,
Instrument Serial Number or Lab Identifier,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:identifier,inferred,shared,
Torch Type,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Torch'].schema:name,authored,shared,
Interface Cone Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Interface Cone'].schema:additionalProperty[schema:name='Configuration'].schema:value,authored,shared,
Sampler and Skimmer Cone Material,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Interface Cone'].schema:additionalProperty[schema:name='Sampler and Skimmer Cone Material'].schema:value,authored,shared,
Torch Depth,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Torch'].schema:additionalProperty[schema:name='Torch Depth'].schema:value,inferred,shared,
Guard Electrode,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataAcquisition'].schema:additionalProperty[schema:name='Guard Electrode'].schema:value,inferred,shared,
Mass Resolution Setting,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Mass Resolution Setting'].schema:value,inferred,shared,
Collision/Reaction Cell (CRC) Configuration,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:name,authored,shared,
Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:additionalProperty[schema:name='Detector Configuration'].schema:value,inferred,shared,
Nebulizer Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Type'].schema:value,authored,shared,
Spray Chamber Type and Cooling Temperature,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Spray Chamber Type and Cooling Temperature'].schema:value,authored,shared,
