Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Notes
Protocol Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,inferred,
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,inferred,
Protocol Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,inferred,
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place.schema:name,inferred,
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place.schema:identifier,inferred,
Protocol Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,inferred,
Funding Source for Protocol Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,inferred,
Protocol Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,
Protocol DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,inferred,
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,inferred,
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,inferred,
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,inferred,
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding,inferred,
Coupled Technique(s),Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,inferred,
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,inferred,
Coupled Protocol DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProtocol'].schema:target.schema:url,inferred,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,inferred,
Target Material,Basic,Read-Only,Text (free),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,
Sample IGSN,Advanced,Basic,URI / Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Sample IGSN'].schema:value,inferred,
Sample Description,N/A,Basic,Text (free),,flagged,analysis-instance (needs mapping)
Sample Preparation Method,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='samplePreparation'].schema:description,inferred,
Digestion Acid(s),Basic,Read-Only,Text (free),$MethodDefinition.ada:digestionAcid,inferred,
Digestion Vessel Type,Basic,Read-Only,Controlled list,$MethodDefinition.ada:digestionVesselType,inferred,
Number of Digestion Steps,Basic,Read-Only,Integer,$MethodDefinition.ada:numberOfDigestionSteps,inferred,
Digestion Temperature,Basic,Editable,Numeric (°C),$MethodDefinition.ada:digestionTemperature,inferred,
Digestion Duration,Basic,Editable,Text (free),$MethodDefinition.ada:digestionDuration,inferred,
Final Solution Matrix,Basic,Read-Only,Text (free),$MethodDefinition.ada:finalSolutionMatrix,inferred,
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$MethodDefinition.schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:defaultValue,inferred,
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$Dataset.schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:value,inferred,
Chromatographic Separation Applied,Basic,Read-Only,Controlled list,$MethodDefinition.ada:chromatographicSeparationApplied,inferred,
Isotope Dilution Spike,Basic,Read-Only,Text (free),$MethodDefinition.ada:isotopeDilutionSpike,inferred,
Instrument Make and Model,Basic,Read-Only,Text (free),$MethodDefinition.ada:instrumentMakeAndModel,inferred,
ICP-MS Type,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:additionalType,inferred,
Instrument Serial Number or Lab Identifier,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:identifier,inferred,
Torch Type,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:hasPart[schema:additionalType='Torch'].schema:name,inferred,
Interface Cone Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:hasPart[schema:additionalType='Interface Cone'].schema:additionalProperty[schema:name='Configuration'].schema:value,inferred,
Sampler and Skimmer Cone Material,Advanced,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:hasPart[schema:additionalType='Interface Cone'].schema:additionalProperty[schema:name='Sampler and Skimmer Cone Material'].schema:value,inferred,
Torch Depth,Advanced,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:hasPart[schema:additionalType='Torch'].schema:additionalProperty[schema:name='Torch Depth'].schema:value,inferred,
Guard Electrode,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='dataAquisition'].schema:additionalProperty[schema:name='Guard Electrode'].schema:value,inferred,
Mass Resolution Setting,Basic,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:additionalProperty[schema:name='Mass Resolution Setting'].schema:value,inferred,
Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICP-MS'].schema:additionalProperty[schema:name='Detector Configuration'].schema:value,inferred,
Nebulizer Type,Basic,Read-Only,Text (free),$MethodDefinition.ada:nebulizerType,inferred,
Spray Chamber Type and Cooling Temperature,Basic,Read-Only,Text (free),$MethodDefinition.ada:sprayChamberTypeAndCoolingTemperature,inferred,
Desolvation System,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Desolvation System'].schema:value,inferred,
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$MethodDefinition.ada:sampleUptakeRate,inferred,
Acquisition Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[],inferred,
Data Reduction Software,Basic,Editable,Text (free),$MethodDefinition.bios:computationalTool[],inferred,
RF Power,Basic,Editable,Numeric (W),$MethodDefinition.ada:rfPower,inferred,
Coolant (Plasma) Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.ada:coolantGasFlowRate,inferred,
Auxiliary Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.ada:auxiliaryGasFlowRate,inferred,
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.ada:nebulizerGasFlowRate,inferred,
Make-up Gas Flow Rate,Advanced,Editable,Numeric (L/min),$MethodDefinition.schema:additionalProperty[schema:name='Make-up Gas Flow Rate'].schema:defaultValue,inferred,
Make-up Gas Flow Rate,Advanced,Editable,Numeric (L/min),$Dataset.schema:additionalProperty[schema:name='Make-up Gas Flow Rate'].schema:value,inferred,
Plasma Thermal Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:plasmaThermalMode,inferred,
Analyte,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:defaultAnalytes[],inferred,
Monitored Isotopes,Basic,Read-Only,Text (free),$MethodDefinition.ada:monitoredIsotopes[],inferred,
Mass Resolution per Analyte,Basic,Read-Only,Text (free),$MethodDefinition.ada:massResolutionPerAnalyte[],inferred,
E-scan Range,Advanced,Read-Only,Numeric (%),$MethodDefinition.schema:additionalProperty[schema:name='e-scanRange'].schema:value,inferred,
Triple Scanning Mode,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:additionalProperty[schema:name='Triple Scanning Mode'].schema:value,inferred,
Dwell Time per Mass,Basic,Read-Only,Numeric (ms) or Text,$MethodDefinition.ada:dwellTime,inferred,
Number of Scans per Replicate,Basic,Read-Only,Integer,$MethodDefinition.ada:numberOfScansPerReplicate,inferred,
Number of Replicates per Sample,Basic,Read-Only,Integer,$MethodDefinition.ada:numberOfReplicatesPerSample,inferred,
Sample Sequence Design,Basic,Read-Only,Text (free),$MethodDefinition.ada:sampleSequenceDesign,inferred,
Wash Time Between Samples,Basic,Read-Only,Numeric (s),$MethodDefinition.ada:washTimeBetweenSamples,inferred,
Internal Standard Element,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalStandardElement,inferred,
Internal Standard Concentration,Advanced,Read-Only,Numeric (µg/L),$MethodDefinition.schema:additionalProperty[schema:name='Internal Standard Concentration'].schema:value,inferred,
Oxide Production Method and Threshold,Basic,Read-Only,Text (free),$MethodDefinition.ada:oxideProductionMethodAndThreshold,inferred,
Oxide Production,N/A,Basic,Text (free),$Dataset.dqv:hasQualityMeasurement[dqv:isMeasurementOf='Oxide production ratio'].dqv:value,inferred,
Doubly-Charged Species Monitor,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Doubly-Charged Species Monitor'].schema:defaultValue,inferred,
Doubly-Charged Species Monitor,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Doubly-Charged Species Monitor'].schema:value,inferred,
Doubly-Charged Species Production,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Doubly-Charged Species Production'].schema:defaultValue,inferred,
Doubly-Charged Species Production,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Doubly-Charged Species Production'].schema:value,inferred,
Internal Standard Approach,Basic,Read-Only,Controlled list,$MethodDefinition.ada:internalStandardApproach,inferred,
Drift Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:driftCorrectionMethod,inferred,
Per-Analyte Calibration Strategy,Basic,Read-Only,Controlled list,$MethodDefinition.ada:perAnalyteCalibrationStrategy[],inferred,
Signal Integration Interval Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:signalIntegrationIntervalMethod,inferred,
Signal Integration Time,N/A,Basic,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Signal Integration Time'].schema:value,inferred,
Blank/Background Correction Method,Basic,Read-Only,Controlled list,$MethodDefinition.ada:blankBackgroundCorrectionMethod,inferred,
Spike/Outlier Filtering Approach,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Spike/Outlier Filtering Approach'].schema:defaultValue,inferred,
Spike/Outlier Filtering Approach,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Spike/Outlier Filtering Approach'].schema:value,inferred,
Pulse/Analog Detector Nonlinearity Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Pulse/Analog Detector Nonlinearity Correction'].schema:defaultValue,inferred,
Pulse/Analog Detector Nonlinearity Correction,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Pulse/Analog Detector Nonlinearity Correction'].schema:value,inferred,
Isobaric Interference Corrections Applied,Basic,Read-Only,Controlled list,$MethodDefinition.ada:isobaricInterferenceCorrection[],inferred,
Interfering Species,Basic,Read-Only,Text (free),$MethodDefinition.ada:interferingSpecies[],inferred,
Interference Correction Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:isobaricInterferenceCorrectionMethod[],inferred,
Isotope Dilution Data Reduction Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:isotopeDilutionDataReductionMethod,inferred,
Memory Effect Mitigation,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:defaultValue,inferred,
Memory Effect Mitigation,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Memory Effect Mitigation'].schema:value,inferred,
Uncertainty Propagation Method,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Uncertainty Propagation Method'].schema:defaultValue,inferred,
Uncertainty Propagation Method,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Uncertainty Propagation Method'].schema:value,inferred,
Normalization/Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Normalization/Standards-Based Correction'].schema:defaultValue,inferred,
Normalization/Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.schema:additionalProperty[schema:name='Normalization/Standards-Based Correction'].schema:value,inferred,
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:primaryStandardName,inferred,
Calibration Standard Measurement Frequency,Basic,Read-Only,Text (free),$MethodDefinition.ada:calibrationMeasurementFrequency,inferred,
Secondary Reference Materials,Basic,Editable,Text (free),$MethodDefinition.ada:secondaryReferenceMaterial[],inferred,
Detection Limit,Advanced,Basic,Numeric or Text,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Detection Limit Method,Advanced,Basic,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Limit of Quantification (LOQ) Method,Advanced,Basic,Controlled list,$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Within-Session Analytical Precision and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Between-Session (Long-Term) Analytical Precision and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Analytical Accuracy and Assessment Method,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,
Additional Notes,Advanced,Advanced,Text (free),$MethodDefinition.schema:description,inferred,
