Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),,module,,placement owned by Module Core,
Technique,Basic,Read-Only,Controlled list,,module,,placement owned by Module Core,
Procedure Author,Basic,Read-Only,Text (free),,module,,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,,placement owned by Module Core,
Procedure Start Date,Basic,Read-Only,Date,,module,,placement owned by Module Core,
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),,module,,placement owned by Module Core,
Procedure Reference(s),Advanced,Read-Only,URI / DOI,,module,,placement owned by Module Core,
Procedure DOI,N/A,Basic,URI / DOI,,module,module,placement owned by Module Core,
Session Identifier,N/A,Basic,Text (free),,module,module,placement owned by Module Core,
Analyst,N/A,Basic,Text (free),,module,,placement owned by Module Core,
Analysis Start Date,N/A,Basic,Date,,module,,placement owned by Module Core,
Analysis End Date,N/A,Basic,Date,,module,,placement owned by Module Core,
Funding Source for Analysis,N/A,Basic,Text (free),,module,,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Text (free),,module,,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Text (free),,module,,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,,placement owned by Module Core,
Coupled Procedure DOI,N/A,Advanced,URI / DOI,,module,module,placement owned by Module Core,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,,module,module,placement owned by Module Core,
Sample Name,N/A,Basic,Text (free),,module,,placement owned by Module Core,defines: sample
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,,module,,placement owned by Module Core,sample
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:targetMaterial,inferred,,,
Sampling Unit,Basic,Basic,Controlled list / Text,,module,,placement owned by Module Core,defines: sampling unit
Sample Preparation Method,Basic,Editable,Controlled list / Text,,module,,placement owned by Module Core,
Sample Preparation Method,Basic,Editable,Controlled list / Text,,module,,placement owned by Module Core,
Sample Heated,N/A,Basic,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Heated'].schema:defaultValue,keyed,,,sample
Sample Heated,N/A,Basic,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Heated'].schema:value,keyed,,,sample
Vacuum Exposed Sample,N/A,Basic,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Vacuum Exposed Sample'].schema:defaultValue,keyed,,,sample
Vacuum Exposed Sample,N/A,Basic,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Vacuum Exposed Sample'].schema:value,keyed,,,sample
Sampling Unit Selection Criteria,Basic,Editable,Text (free),,module,,placement owned by Module SamplingUnitSelection,
Sampling Unit Selection Criteria,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sampling Unit Selection Criteria'].schema:value,inferred,,,
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:defaultValue,keyed,,,sample
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:value,keyed,,,sample
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.ada:instrumentManufacturer,inferred,,,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.ada:instrumentModel,inferred,,,
Acquisition Software,Basic,Editable,Text (free),,module,,placement owned by Module Core,
Acquisition Software,Basic,Editable,Text (free),,module,,placement owned by Module Core,
Data Processing Software(s),Basic,Editable,Text (free),,module,,placement owned by Module Core,
Data Processing Software(s),Basic,Editable,Text (free),,module,,placement owned by Module Core,
Detector,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:detector,inferred,,,
Beamsplitter,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:beamsplitter,inferred,,,
Spectral Range Minimum,Basic,Read-Only,Numeric + unit,$MethodDefinition.ada:spectralRangeMinimum,inferred,,,
Spectral Range Maximum,Basic,Read-Only,Numeric + unit,$MethodDefinition.ada:spectralRangeMaximum,inferred,,,
Spectral Resolution,Basic,Editable,Numeric + unit,$MethodDefinition.ada:spectralResolutionDefault,inferred,,,
Spectral Resolution,Basic,Editable,Numeric + unit,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Spectral Resolution'].schema:value,inferred,,,
