Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),,module,,placement owned by Module Core,
Technique,Basic,Read-Only,Controlled list,,module,,placement owned by Module Core,
Procedure Author,Basic,Read-Only,Text (free),,module,,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,,placement owned by Module Core,
Laboratory,Basic,Editable,Text (free),,module,,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,,placement owned by Module Core,
Laboratory ID,Advanced,Editable,URI / DOI,,module,,placement owned by Module Core,
Procedure Start Date,Basic,Read-Only,Date,,module,,placement owned by Module Core,
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),,module,,placement owned by Module Core,
Procedure Reference(s),Advanced,Read-Only,URI / DOI,,module,,placement owned by Module Core,
Procedure DOI,N/A,Basic,URI / DOI,,module,,placement owned by Module Core,
Analyst,N/A,Basic,Text (free),,module,,placement owned by Module Core,
Analysis Start Date,N/A,Basic,Date,,module,,placement owned by Module Core,
Analysis End Date,N/A,Basic,Date,,module,,placement owned by Module Core,
Funding Source for Analysis,N/A,Basic,Text (free),,module,,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Controlled list / Text,,module,,placement owned by Module Core,
Coupled Technique(s),Advanced,Editable,Controlled list / Text,,module,,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,,placement owned by Module Core,
Coupling Description,Advanced,Editable,Text (free),,module,,placement owned by Module Core,
Coupled Procedure DOI,N/A,Advanced,URI / DOI,,module,,placement owned by Module Core,
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,,module,,placement owned by Module Core,
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,,,
Sample Preparation Method,Basic,Read-Only,Controlled list,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:description,inferred,,,
Sample Preparation Details,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:additionalProperty[schema:name='Sample Preparation Details'].schema:defaultValue,inferred,,,
Sample Preparation Details,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:additionalProperty[schema:name='Sample Preparation Details'].schema:value,inferred,,,
Sample Name,N/A,Basic,Text (free),,module,,placement owned by Module Core,defines: sample
Sampling Unit,Basic,Basic,Controlled list / Text,,module,,placement owned by Module Core,defines: sampling unit
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,,module,,placement owned by Module Core,sample
Target Selection Criteria,Basic,Editable,Text (free),,module,,placement owned by Module TargetSelection,
Target Selection Criteria,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Target Selection Criteria'].schema:value,inferred,,,
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$MethodDefinition.schema:object[@type='isam:materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:defaultValue,inferred,,,sample
Pre-Analysis Imaging and Screening,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='isam:materialsample'].schema:additionalProperty[schema:name='Pre-Analysis Imaging and Screening'].schema:value,inferred,,,sample
Instrument Manufacturer,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:manufacturer.schema:name,authored,,instrument identity,
Instrument Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:model.schema:name,authored,,instrument identity,
Electron Source,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='Electron Source'].schema:description,authored,,instrument component,
Aberration Corrector,Basic,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='Aberration Corrector'].schema:description,authored,,instrument component,
Monochromator,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='Monochromator'].schema:description,authored,,instrument component,
Sample Holder,Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='Sample Holder'].schema:defaultValue,inferred,,,
Sample Holder,Advanced,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Sample Holder'].schema:value,inferred,,,
Spectroscopic Detector(s),Basic,Editable,Controlled list,$MethodDefinition.ada:spectroscopicDetectorDefault,inferred,,"kept as a plan-level property: this is which detectors are FITTED, not one component's description; revisit if it should become hasPart entries",
Spectroscopic Detector(s),Basic,Editable,Controlled list,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Spectroscopic Detector(s)'].schema:value,inferred,,"kept as a plan-level property: this is which detectors are FITTED, not one component's description; revisit if it should become hasPart entries",
EDS Detector Configuration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='TEM'].schema:hasPart[schema:additionalType='EDS Detector'].schema:description,authored,,instrument component,
