Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Collision/Reaction Cell (CRC) Configuration,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:name,authored,module,unanimous across 6 technique(s),
Collision/Reaction Cell (CRC) Configuration,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,module,keyed route added by refresh_keyby,channel
Collision Gas Type,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Collision Gas Type'].schema:value,authored,module,unanimous across 6 technique(s),
Collision Gas Type,Basic,Read-Only,Controlled list / Text,$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,module,keyed route added by refresh_keyby,channel
Collision Gas Flow Rate,Basic,Editable,Numeric (mL/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Gas Flow Rate'].schema:value,authored,module,unanimous across 6 technique(s),
Collision Gas Flow Rate,Basic,Editable,Numeric (mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Gas Flow Rate'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Reaction Gas Type,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Type'].schema:value,authored,module,unanimous across 6 technique(s),
Reaction Gas Type,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.ada:channelTemplate.ada:channelColumns[],authored,module,keyed route added by refresh_keyby,channel
Reaction Gas Flow Rate,Advanced,Editable,Numeric (mL/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Flow Rate'].schema:value,authored,module,unanimous across 6 technique(s),
Reaction Gas Flow Rate,Advanced,Editable,Numeric (mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Reaction Gas Flow Rate'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Cell Exit Discrimination Voltage,Basic,Editable,Numeric (V),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Cell Exit Discrimination Voltage'].schema:value,authored,module,unanimous across 6 technique(s),
Cell Exit Discrimination Voltage,Basic,Editable,Numeric (V),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Collision Reaction Cell'].schema:additionalProperty[schema:name='Cell Exit Discrimination Voltage'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Collision/Reaction Gas Mixture Ratio,Advanced,Editable,Text (free),$MethodDefinition.ada:channelTemplate.ada:channelColumns[],keyed,module,"new in the 2026-09 delivery; keyed to channel per KEYED_BY_GRAMMAR §3 — the cell-node siblings carry no keyed row yet, so this is the placement, not an alternate",channel
Reaction Product Ion / Mass-Shift Transition,Advanced,Read-Only,Text (free),$MethodDefinition.ada:channelTemplate.ada:channelColumns[],keyed,module,"new in the 2026-09 delivery; keyed to channel per KEYED_BY_GRAMMAR §3 — the cell-node siblings carry no keyed row yet, so this is the placement, not an alternate",channel
