Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Detection Limit,Advanced,Basic,Numeric + unit / Text,$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Detection Limit'].schema:value,authored,module,unanimous across 12 technique(s),
Detection Limit,Advanced,Basic,Numeric + unit / Text,$Dataset.schema:variableMeasured[schema:name='Detection Limit'].schema:value,authored,module,unanimous across 12 technique(s),reported property
Detection Limit,Advanced,Basic,Numeric + unit / Text,$MethodDefinition.schema:additionalProperty[schema:name='Detection Limit'].schema:defaultValue,authored,module,unanimous across 12 technique(s),
Detection Limit,Advanced,Basic,Numeric + unit / Text,$MethodDefinition.schema:variableMeasured[schema:name='Detection Limit'].schema:defaultValue,authored,module,unanimous across 12 technique(s),reported property
Detection Limit Method,Basic,Read-Only,Controlled list / Text,$Dataset.schema:variableMeasured[schema:name='Detection Limit Method'].schema:value,authored,module,unanimous across 12 technique(s),reported property
Detection Limit Method,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].ada:detectionLimitMethod,authored,module,unanimous across 12 technique(s),
Counting Statistics Error,Advanced,Basic,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],authored,module,unanimous across 3 technique(s),sample > sampling unit x reported property
Secondary Reference Materials,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.prov:reagent[ada:reagentRole='referenceMaterial'].schema:name,inferred,module,"majority 9/12 (laMcicpmsTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP); rivals: 3x $MethodDefinition.ada:analyteTemplate.ada:analyteColumns[]",defines: standard
Secondary Reference Materials,Basic,Editable,Text (free),$MethodDefinition.ada:secondaryReferenceMaterialDefault[],inferred,module,"majority 9/12 (laMcicpmsTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP); rivals: 3x $MethodDefinition.ada:analyteTemplate.ada:analyteColumns[]",defines: standard
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Normalization / Standards-Based Correction'].schema:value,authored,module,unanimous across 12 technique(s),
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$Dataset.schema:variableMeasured[schema:name='Normalization / Standards-Based Correction'].schema:value,authored,module,unanimous across 12 technique(s),reported property
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Normalization / Standards-Based Correction'].schema:defaultValue,authored,module,unanimous across 12 technique(s),
Normalization / Standards-Based Correction,Advanced,Editable,Text (free),$MethodDefinition.schema:variableMeasured[schema:name='Normalization / Standards-Based Correction'].schema:defaultValue,authored,module,unanimous across 12 technique(s),reported property
Primary Calibration Standard Name,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.prov:reagent[ada:reagentRole='primaryStandard'].schema:name,inferred,module,"majority 9/12 (laMcicpmsTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP); rivals: 3x $MethodDefinition.ada:analyteTemplate.ada:analyteColumns[]",
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:primaryStandardNameDefault,inferred,module,"majority 9/12 (laMcicpmsTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP); rivals: 3x $MethodDefinition.ada:analyteTemplate.ada:analyteColumns[]",
Primary Calibration Standard Name,Basic,Editable,Text (free),$MethodDefinition.ada:analyteTemplate.ada:analyteColumns[],inferred,module,keyed route added by refresh_keyby,analyte
