Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Procedure Name,Basic,Read-Only,Text (free),$MethodDefinition.schema:name,authored,module,unanimous across 22 technique(s),
Technique,Basic,Read-Only,Controlled list,$MethodDefinition.schema:measurementTechnique.schema:DefinedTerm.schema:termCode,authored,module,unanimous across 16 technique(s),
Procedure Author,Basic,Read-Only,Text (free),$MethodDefinition.schema:creator.schema:name,authored,module,unanimous across 22 technique(s),
Laboratory,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:name,authored,module,unanimous across 16 technique(s),
Laboratory,Basic,Editable,Text (free),$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:name,authored,module,unanimous across 16 technique(s),
Laboratory ID,Advanced,Editable,URI / DOI,$Dataset.prov:wasGeneratedBy.schema:location.schema:Place[schema:additionalType='Laboratory'].schema:identifier,authored,module,unanimous across 16 technique(s),
Laboratory ID,Advanced,Editable,URI / DOI,$MethodDefinition.schema:location.schema:Place[schema:additionalType='Default Laboratory'].schema:identifier,authored,module,unanimous across 16 technique(s),
Procedure Start Date,Basic,Read-Only,Date,$MethodDefinition.schema:datePublished,authored,module,unanimous across 22 technique(s),
Funding Source for Procedure Development,Advanced,Read-Only,Text (free),$MethodDefinition.schema:funding[].schema:MonetaryGrant.schema:name,authored,module,unanimous across 22 technique(s),
Procedure Reference(s),Advanced,Read-Only,URI / DOI,$MethodDefinition.schema:relatedLink[schema:linkRelationship='techniquePublication'].schema:target.schema:name,inferred,module,"majority 21/22 (empaTAPP, laMcicpmsTAPP, laMcicpmsUPbTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, laSficpmsUPbTAPP, labxctTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP, temTAPP); rivals: 1x $MethodDefinition.prov:wasDerivedFrom",
Procedure DOI,N/A,Basic,URI / DOI,$Dataset.schema:measurementTechnique.schema:DefinedTerm.schema:identifier,authored,module,unanimous across 22 technique(s),
Session Identifier,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:identifier,authored,module,unanimous across 16 technique(s),
Analyst,N/A,Basic,Text (free),$Dataset.schema:contributor[schema:roleName='analyst'].schema:name,authored,module,unanimous across 16 technique(s),
Analysis Start Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:startDate,authored,module,unanimous across 16 technique(s),
Analysis End Date,N/A,Basic,Date,$Dataset.prov:wasGeneratedBy.schema:endDate,authored,module,unanimous across 16 technique(s),
Funding Source for Analysis,N/A,Basic,Text (free),$Dataset.schema:funding[].schema:MonetaryGrant.schema:name,authored,module,mirrors the $MethodDefinition form: a funding source is a named MonetaryGrant on both sides. The bare $Dataset.schema:funding left the dataset side carrying a plain string while the procedure side carried a structured grant.,
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,module,unanimous across 16 technique(s),
Coupled Technique(s),Advanced,Editable,Controlled list / Text,$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:name,authored,module,unanimous across 16 technique(s),
Coupling Description,Advanced,Editable,Text (free),$Dataset.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,module,unanimous across 16 technique(s),
Coupling Description,Advanced,Editable,Text (free),$MethodDefinition.schema:relatedLink[schema:linkRelationship='coupledTechnique'].schema:target.schema:description,authored,module,unanimous across 16 technique(s),
Coupled Procedure DOI,N/A,Advanced,URI / DOI,$Dataset.schema:relatedLink[schema:linkRelationship='coupledProcedure'].schema:target.schema:url,authored,module,unanimous across 22 technique(s),
Coupled Dataset or Publication Reference,N/A,Advanced,URI / DOI / Text,$Dataset.schema:relatedLink[schema:linkRelationship='coupledDataset'].schema:target,authored,module,unanimous across 16 technique(s),
Sample Name,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:name,authored,module,unanimous across 16 technique(s),defines: sample
Sample Persistent Identifier,Advanced,Advanced,URI / IGSN,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:identifier,authored,module,unanimous across 16 technique(s),sample
Target Material,Basic,Read-Only,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Target Material'].schema:value[],inferred,module,"majority 15/16 (empaTAPP, laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP, labxctTAPP, semCompositionTAPP, semFibsemTAPP, semImagingTAPP, semTAPP, solutionMcicpmsTAPP, solutionQicpmsTAPP, solutionSficpmsTAPP, temTAPP); rivals: 1x $MethodDefinition.schema:object[].schema:name",
Sampling Unit,Basic,Basic,Controlled list / Text,$MethodDefinition.ada:samplingUnit,authored,module,unanimous across 13 technique(s),defines: sampling unit
Instrument Manufacturer,Basic,Read-Only,Controlled list,,unplaced,module,"NOT placed by Core: an instrument selector is technique-specific, and Core composes into every technique. This path was inferred as schema:instrument[schema:additionalType='SEM'] because SEM-family techniques outnumbered the rest in the consensus, which put every other technique's instrument metadata on an SEM node. The technique owns this placement.",
Instrument Model,Basic,Read-Only,Text (free),,unplaced,module,"NOT placed by Core: an instrument selector is technique-specific, and Core composes into every technique. This path was inferred as schema:instrument[schema:additionalType='SEM'] because SEM-family techniques outnumbered the rest in the consensus, which put every other technique's instrument metadata on an SEM node. The technique owns this placement.",
