Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Age Calculation Method,Basic,Read-Only,Text (free),$MethodDefinition.ada:ageCalculationMethod[],authored,module,unanimous across 3 technique(s),
Reported Date Type,Basic,Editable,Controlled list,$MethodDefinition.ada:reportedDateType[],flagged,module,no technique places this field yet,
Reported Date Type,Basic,Editable,Controlled list,$Dataset.ada:reportedDateType[],flagged,module,no technique places this field yet,
Inherited or Initial Signal Correction,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Inherited or Initial Signal Correction'].schema:value,authored,module,unanimous across 3 technique(s),
Inherited or Initial Signal Correction,Basic,Editable,Text (free),$MethodDefinition.ada:inheritedOrInitialSignalCorrectionDefault,authored,module,unanimous across 3 technique(s),
Radiogenic Fraction of Measured Signal,N/A,Basic,Text (free),,flagged,module,no technique places this field yet,
Age Model,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Age Model'].schema:value,authored,module,unanimous across 3 technique(s),
Age Model,Basic,Editable,Text (free),$MethodDefinition.ada:ageModelDefault,authored,module,unanimous across 3 technique(s),
Age Datum / Reference Epoch,Advanced,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Age Datum / Reference Epoch'].schema:value,authored,module,unanimous across 3 technique(s),
Age Datum / Reference Epoch,Advanced,Basic,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Age Datum / Reference Epoch'].schema:defaultValue,authored,module,unanimous across 3 technique(s),
