Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Pre-Ablation Surface Treatment,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:additionalProperty[schema:name='Pre Ablation Surface Treatment'].schema:value,authored,module,unanimous across 6 technique(s),
Pre-Ablation Surface Treatment,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:additionalProperty[schema:name='Pre Ablation Surface Treatment'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Laser Manufacturer & Model,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:model.schema:name,authored,module,unanimous across 6 technique(s),
Laser Wavelength and Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserType,authored,module,unanimous across 6 technique(s),
Ablation Cell Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:name,authored,module,unanimous across 6 technique(s),
Laser Spot Geometry,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserSpotGeometry,authored,module,unanimous across 6 technique(s),
Laser Spot Geometry,Basic,Editable,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserSpotGeometryDefault,authored,module,unanimous across 6 technique(s),
Laser Spot Path / Ablation Mode,Basic,Read-Only,Controlled list,$MethodDefinition.ada:ablationSamplingMode[],authored,module,unanimous across 6 technique(s),
Laser Energy,Advanced,Editable,Numeric (mJ),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='Laser Ablation System'].schema:additionalProperty[schema:name='Laser Energy'].schema:value,authored,module,unanimous across 6 technique(s),
Laser Energy,Advanced,Editable,Numeric (mJ),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:additionalProperty[schema:name='Laser Energy'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Laser Fluence (Energy Density),Basic,Editable,Numeric (J cm⁻²),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserFluence,authored,module,unanimous across 6 technique(s),
Laser Fluence (Energy Density),Basic,Editable,Numeric (J cm⁻²),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserFluenceDefault,authored,module,unanimous across 6 technique(s),
Laser Beam Energy Profile,Advanced,Read-Only,Controlled list,$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:additionalProperty[schema:name='Laser Beam Energy Profile'].schema:value,authored,module,unanimous across 6 technique(s),
Laser Repetition Rate,Basic,Editable,Numeric (Hz),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserRepetitionRate,authored,module,unanimous across 6 technique(s),
Laser Repetition Rate,Basic,Editable,Numeric (Hz),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserRepetitionRateDefault,authored,module,unanimous across 6 technique(s),
Laser Pulse Duration,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].schema:additionalProperty[schema:name='Laser Pulse Duration'].schema:value,inferred,module,"majority 5/6 (laMcicpmsUPbTAPP, laQicpmsTAPP, laQicpmsUPbTAPP, laSficpmsTAPP, laSficpmsUPbTAPP); rivals: 1x $MethodDefinition.schema:instrument[schema:additionalType='Laser Ablation System'].ada:laserPulseDuration",
Ablation Duration per Spot,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.ada:ablationSpotDuration,authored,module,unanimous across 2 technique(s),
Ablation Duration per Spot,Basic,Editable,Numeric (s),$MethodDefinition.ada:ablationSpotDurationDefault,authored,module,unanimous across 2 technique(s),
Ablation Pit Depth and Ablation Rate,Basic,Editable,Text (free),$MethodDefinition.ada:ablationPitDepthRateDefault,authored,module,no technique places this field yet,
Ablation Pit Depth and Ablation Rate,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.ada:ablationPitDepthRate,authored,module,no technique places this field yet,
Spot Diameter (Measured),N/A,Basic,Numeric (µm),$Dataset.ada:spotDiameterMeasured,authored,module,unanimous across 6 technique(s),
"Transect Rate, Mapping Rate or Step Size",Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Transect Rate Mapping Rate or Step Size'].schema:value,authored,module,unanimous across 6 technique(s),
"Transect Rate, Mapping Rate or Step Size",Advanced,Editable,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Transect Rate Mapping Rate or Step Size'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Raster Line Spacing (Mapping Only),Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.ada:rasterLineSpacing,authored,module,unanimous across 1 technique(s),
Raster Line Spacing (Mapping Only),Basic,Editable,Text (free),$MethodDefinition.ada:rasterLineSpacingDefault,authored,module,unanimous across 1 technique(s),
Transect Length,N/A,Basic,Numeric (µm),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Transect Length'].schema:value,authored,module,unanimous across 6 technique(s),
Analysis Location/Spot Coordinates,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Mapped area description'].schema:value,authored,module,unanimous across 6 technique(s),sample > sampling unit
Internal Standard Approach,Basic,Read-Only,Text (free),$MethodDefinition.ada:internalStandardApproach,authored,module,unanimous across 6 technique(s),
Fusion Flux and Dilution Ratio,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:additionalProperty[schema:name='Fusion Flux and Dilution Ratio'].schema:value,authored,module,unanimous across 6 technique(s),
Fusion Flux and Dilution Ratio,Advanced,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample preparation'].schema:additionalProperty[schema:name='Fusion Flux and Dilution Ratio'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Sample Form / Analytical Substrate,Basic,Editable,Controlled list / Text,$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Form Analytical Substrate'].schema:value,authored,module,unanimous across 6 technique(s),
Sample Form / Analytical Substrate,Basic,Editable,Controlled list / Text,$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Form Analytical Substrate'].schema:defaultValue,authored,module,unanimous across 6 technique(s),
Sample Introduction,Basic,Read-Only,Text (free),$MethodDefinition.ada:sampleIntroduction,authored,module,unanimous across 6 technique(s),
Background Count Time,Basic,Editable,Numeric (s),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Background Count Time'].schema:value,authored,module,unanimous across 6 technique(s),
Background Count Time,Basic,Editable,Numeric (s),$MethodDefinition.ada:backgroundCountTimeDefault,authored,module,unanimous across 6 technique(s),
Carrier Gas and Flow Rate,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Carrier Gas and Flow Rate'].schema:value,authored,module,unanimous across 6 technique(s),
Carrier Gas and Flow Rate,Basic,Editable,Text (free),$MethodDefinition.ada:carrierGasFlowRateDefault,authored,module,unanimous across 6 technique(s),
Mapping Area,N/A,Basic,Text (free),$Dataset.prov:wasGeneratedBy.schema:additionalProperty[schema:name='Mapping Area'].schema:value,authored,module,unanimous across 6 technique(s),
Multi-Run Sequential Analysis Design,Advanced,Read-Only,Text (free),$MethodDefinition.schema:additionalProperty[schema:name='Multi Run Sequential Analysis Design'].schema:value,authored,module,unanimous across 6 technique(s),
Signal Smoothing,Advanced,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Data reduction'].schema:additionalProperty[schema:name='Signal Smoothing'].schema:value,authored,module,unanimous across 6 technique(s),
