Metadata Item,Protocol Tier,Analysis Tier,Data Type,Schema Path,Source,Scope,Notes,Key by
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$Dataset.prov:wasGeneratedBy.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:value,authored,module,unanimous across 3 technique(s),sample
Sample Aliquot Mass or Volume,Advanced,Editable,Numeric (mg or mL),$MethodDefinition.schema:object[@type='https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample'].schema:additionalProperty[schema:name='Sample Aliquot Mass or Volume'].schema:defaultValue,authored,module,unanimous across 3 technique(s),sample
Number of Digestion Steps,Basic,Read-Only,Integer,$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Number of Digestion Steps'].schema:value,authored,module,unanimous across 3 technique(s),defines: preparation step
Digestion Vessel Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Vessel Type'].schema:value,authored,module,unanimous across 3 technique(s),
Digestion Acid(s),Basic,Read-Only,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].bios:reagent[].schema:name,authored,module,unanimous across 2 technique(s),preparation step
Digestion Temperature,Basic,Editable,Numeric (°C),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Temperature'].schema:value,authored,module,unanimous across 3 technique(s),preparation step
Digestion Temperature,Basic,Editable,Numeric (°C),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Temperature'].schema:defaultValue,authored,module,unanimous across 3 technique(s),preparation step
Digestion Duration,Basic,Editable,Text (free),$Dataset.prov:wasGeneratedBy.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Duration'].schema:value,authored,module,unanimous across 3 technique(s),preparation step
Digestion Duration,Basic,Editable,Text (free),$MethodDefinition.schema:actionProcess.schema:step[schema:name='Sample digestion'].schema:additionalProperty[schema:name='Digestion Duration'].schema:defaultValue,authored,module,unanimous across 3 technique(s),preparation step
Chromatographic Separation Applied,Basic,Read-Only,Controlled list,$MethodDefinition.ada:chromatographicSeparationApplied,authored,module,unanimous across 3 technique(s),
Isotope Dilution Spike,Basic,Read-Only,Text (free),$MethodDefinition.ada:isotopeDilutionSpike,authored,module,unanimous across 3 technique(s),
Final Solution Matrix,Basic,Read-Only,Text (free),$MethodDefinition.ada:finalSolutionMatrix,authored,module,unanimous across 3 technique(s),
Nebulizer Type,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Type'].schema:value,authored,module,unanimous across 3 technique(s),
Spray Chamber Type and Cooling Temperature,Basic,Read-Only,Text (free),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Spray Chamber Type and Cooling Temperature'].schema:value,authored,module,unanimous across 3 technique(s),
Desolvation System,Advanced,Read-Only,Controlled list / Text,$MethodDefinition.schema:additionalProperty[schema:name='Desolvation System'].schema:value,authored,module,unanimous across 3 technique(s),
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:value,authored,module,unanimous across 2 technique(s),
Sample Uptake Rate,Basic,Editable,Numeric (µL/min or mL/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Sample Uptake Rate'].schema:defaultValue,authored,module,unanimous across 2 technique(s),
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$Dataset.prov:wasGeneratedBy.prov:used.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:value,authored,module,unanimous across 2 technique(s),
Nebulizer Gas Flow Rate,Basic,Editable,Numeric (L/min),$MethodDefinition.schema:instrument[schema:additionalType='ICPMS'].schema:hasPart[schema:additionalType='Sample Introduction System'].schema:additionalProperty[schema:name='Nebulizer Gas Flow Rate'].schema:defaultValue,authored,module,unanimous across 2 technique(s),
Wash Time Between Samples,Basic,Read-Only,Numeric (s),$MethodDefinition.ada:washTimeBetweenSamples,authored,module,unanimous across 3 technique(s),
Internal Standard Concentration,Advanced,Read-Only,Numeric (µg/L),$MethodDefinition.schema:additionalProperty[schema:name='Internal Standard Concentration'].schema:value,authored,module,unanimous across 3 technique(s),
