Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spectral Point,Overview Image,Spectral Map,Literature Assessment,ADA n=19 | Hiroi2023 | Brown U. | Thermo/Nicolet Nexus 870 FTIR,ADA n=13 | Hiroi2023 | Brown U. | Custom bi-directional,ADA n=2 | Milliken2024 | Brown U. | Bruker LUMOS FTIR microscope,ADA n=1 | Keller2024 | NASA Johnson Space Center | JEOL 2500SE
1. Procedure Identification,,,,,,,,,,N,N,N,N,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,"Visible, near-, and mid-infrared spectroscopy","Visible, near-, and mid-infrared spectroscopy","Visible, near-, and mid-infrared spectroscopy","Visible, near-, and mid-infrared spectroscopy"
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,"Hiroi, Takahiro","Hiroi, Takahiro","Milliken, Ralph","Keller, Lindsay"
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,Brown University,Brown University,Brown University,NASA Johnson Space Center
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,https://ror.org/05gq02987,https://ror.org/05gq02987,https://ror.org/05gq02987,https://ror.org/04xx4z452
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,Source: Core module,2026-09-06,(none),,Y,Y,Y,,This material is supported by NASA PSEF grant. | NASA PSEF | (+1 more),This material is supported by NASA PSEF grant. | This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program and NASA Planetary Science Enabling Facilities program 80NSSC23K0198. | (+1 more),This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,Source: Core module,2026-09-06,(none),,Y,Y,Y,,N,N,N,N
