Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,ADA n=2 | King2024 | Natural History Museum | (NHM)Position Sensitive Detector X-ray Diffraction,ADA n=1 | King2024 | NASA Johnson Space Center | (JSC-ARES)Malvern PANalytical XPert Pro XRD,ADA n=1 | King2023 | Natural History Museum | Rigaku Rapid 2 Micro-XRD
1. Procedure Identification,,,,,,,,,,N,N,N,N
Procedure Name,"A short descriptive name for this analytical procedure, including a version number. Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature.",Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,(none),,,N,N,N
Technique,Top-level analytical technique identifier.,Basic,Read-Only,Controlled list,,Source: Core module,2026-09-06,(none),,,X-ray diffraction,X-ray diffraction,X-ray diffraction
Procedure Author,Person(s) or laboratory responsible for developing and registering this procedure. ORCID recommended for individuals.,Basic,Read-Only,Text (free),,Source: Core module,2026-09-06,(none),,,"King, Ashley","King, Ashley","King, Ashley"
Laboratory,Name of the laboratory or institution hosting the instrument.,Basic,Editable,Text (free),,Source: Core module,2026-09-06,(none),,,Natural History Museum,NASA Johnson Space Center,Natural History Museum
Laboratory ID,"Persistent identifier for the laboratory (e.g., ROR ID).",Advanced,Editable,URI / DOI,,Source: Core module,2026-09-06,(none),,,https://ror.org/039zvsn29,https://ror.org/04xx4z452,https://ror.org/039zvsn29
Procedure Start Date,First date this procedure configuration was used in production.,Basic,Read-Only,Date,,Source: Core module,2026-09-06,(none),,,N,N,N
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Advanced,Read-Only,Text (free),,Source: Core module,2026-09-06,(none),,,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,,Source: Core module,2026-09-06,(none),,,N,N,N
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,,Source: Core module,2026-09-06,(none),,,N,N,N
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-09-06,(none),,,20241125_xrd_nhm_orex-800117-108_1 | 20240725_xrd_nhm_orex-800107-103_1,20230928_xrd_jsc-ares_orex-500005-0_1,20231124_xrd_nhm_orex-800032-110_1
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,Source: Core module,2026-09-06,(none),,,"King, Ashley","King, Ashley","King, Ashley"
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,Source: Core module,2026-09-06,(none),,,2024-07-25 | 2024-11-25,2024-01-28,2023-11-24
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,Source: Core module,2026-09-06,(none),,,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,Source: Core module,2026-09-06,(none),,,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.,This material is supported by NASA under contract NNM10AA11C issued through the New Frontiers program.
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Name the instrument, laboratory or purpose alongside each technique where known, and join multiple techniques with '; '. Enter ""None"" if no coupling is intended.",Advanced,Editable,Text (free),,Source: Core module,2026-09-06,(none),,,N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,Source: Core module,2026-09-06,(none),,,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,Source: Core module,2026-09-06,(none),,,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,Source: Core module,2026-09-06,(none),,,N,N,N
,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'OREX-803119-102' | 'Murchison chip 4b'",Source: Core module,2026-09-06,defines: sample,The analysis record corresponds to one session and may cover several samples.,,OREX-800117-108 | OREX-800107-103,OREX-500005-0,OREX-800032-110
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:BNN0001AB'",Source: Core module,2026-09-06,sample,,,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Carbonate | Phosphate | Metal or alloy | Organic matter | Bulk regolith or soil | Meteorite (bulk) | Ice or hydrate | Synthetic analogue | N/A | None,Source: Core module,2026-09-06,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-09-06,defines: sampling unit,,,N,N,N
